Товарная группа;Артикул;Наименование товара;Цена;Ссылка на детальную страницу
Антистатики, кондиционеры для тканей;БХ-900215;Кондиционер концентрированный   1.82л для белья VERNEL ДЕТСКИЙ   ''HENKEL''   1/8;347.73;http://almin.ru/goods/konditsioner-kontsentrirovannyy-2l-dlya-belya-vernel-detskiy-henkel-1-8/
Антистатики, кондиционеры для тканей;БХ-904670;Кондиционер концентрированный   910мл для белья VERNEL ДЕТСКИЙ   ''HENKEL''   1/12;206.87;http://almin.ru/goods/konditsioner-kontsentrirovannyy-1l-dlya-belya-vernel-detskiy-henkel-1-12/
Антистатики, кондиционеры для тканей;БХ-934948;Кондиционер концентрированный   1л для белья VERNEL АРОМА ЧУВСТВЕННОСТЬ   ''HENKEL''   1/12;206.87;http://almin.ru/goods/konditsioner-kontsentrirovannyy-1l-dlya-belya-vernel-aroma-chuvstvennost-henkel-1-12/
Антистатики, кондиционеры для тканей;БХ-934950;Кондиционер концентрированный   1л для белья VERNEL АРОМА РЕЛАКСАЦИЯ   ''HENKEL''   1/12;206.87;http://almin.ru/goods/konditsioner-kontsentrirovannyy-1l-dlya-belya-vernel-aroma-relaksatsiya-henkel-1-12/
Антистатики, кондиционеры для тканей;БХ-137;Кондиционер   750мл для белья ЗОЛУШКА НЕЖНОСТЬ ХЛОПКА   ''АМС''   1/12;34.26;http://almin.ru/goods/konditsioner-750ml-dlya-belya-zolushka-nezhnost-khlopka-ams-1-12/
Антистатики, кондиционеры для тканей;БХ-131;Кондиционер   750мл для белья ЗОЛУШКА СВЕЖЕСТЬ И ПРОХЛАДА   ''АМС''   1/12;34.26;http://almin.ru/goods/konditsioner-750ml-dlya-belya-zolushka-svezhest-i-prokhlada-ams-1-12/
Антистатики, кондиционеры для тканей;БХ-С142;Кондиционер   1.5л для белья с антистатиком ЗОЛУШКА СВЕЖЕСТЬ И ПРОХЛАДА   ''АМС''   1/6;74.18;http://almin.ru/goods/konditsioner-15l-dlya-belya-s-antistatikom-zolushka-svezhest-i-prokhlada-ams-1-6/
Антистатики, кондиционеры для тканей;БХ-С154А;Кондиционер   1л для белья с антистатиком ЗОЛУШКА МОРСКОЙ БРИЗ   ''АМС''   1/10;46.14;http://almin.ru/goods/konditsioner-1l-dlya-belya-s-antistatikom-zolushka-morskoy-briz-ams-1-10/
Антистатики, кондиционеры для тканей;БХ-46338;Антистатик   200мл CHIRTON  для одежды аэрозоль   ''GD''   1/6/24;78.66;http://almin.ru/goods/antistatik-200ml-chirton-dlya-odezhdy-aerozol-1-6-24/
Антистатики, кондиционеры для тканей;БХ-02222;Кондиционер   2л для белья CHIRTON НЕЖНЫЕ ПРИКОСНОВЕНИЯ   ''GD''   1/6;97.40;http://almin.ru/goods/konditsioner-2l-dlya-belya-chirton-nezhnye-prikosnoveniya-gd-1-6/
Антистатики, кондиционеры для тканей;БХ-02215;Кондиционер   2л для белья CHIRTON АЛЬПИЙСКА ДОЛИНА   ''GD''   1/6;97.40;http://almin.ru/goods/konditsioner-2l-dlya-belya-chirton-alpiyska-dolina-gd-1-6/
Антистатики, кондиционеры для тканей;БХ-02239;Кондиционер   2л для белья CHIRTON ЦВЕТУЩАЯ СКАНДИНАВИЯ   ''GD''   1/6;97.40;http://almin.ru/goods/konditsioner-2l-dlya-belya-chirton-tsvetushchaya-skandinaviya-gd-1-6/
Антистатики, кондиционеры для тканей;БХ-260613;Кондиционер концентрированный   1.82л для белья VERNEL АРОМА ПИОН И ХЛОПОК   ''HENKEL''   1/8;379.10;http://almin.ru/goods/konditsioner-kontsentrirovannyy-182l-dlya-belya-vernel-aroma-pion-i-khlopok-henkel-1-8/
Антистатики, кондиционеры для тканей;БХ-250613;Кондиционер концентрированный   910мл для белья VERNEL АРОМА ПИОН И ХЛОПОК   ''HENKEL''   1/12;225.53;http://almin.ru/goods/konditsioner-kontsentrirovannyy-910ml-dlya-belya-vernel-aroma-pion-i-khlopok-henkel-1-12/
Антистатики, кондиционеры для тканей;БХ-230613;Кондиционер концентрированный   910мл для белья VERNEL АРОМА ВАНИЛЬ И ЦИТРУС   ''HENKEL''   1/12;225.53;http://almin.ru/goods/konditsioner-kontsentrirovannyy-910ml-dlya-belya-vernel-aroma-vanil-i-tsitrus-henkel-1-12/
Антистатики, кондиционеры для тканей;БХ-300617;Кондиционер концентрированный   1.82л для белья VERNEL СВЕЖЕСТЬ ПРОВАНСА   ''HENKEL''   1/8;379.10;http://almin.ru/goods/konditsioner-kontsentrirovannyy-182l-dlya-belya-vernel-svezhest-provansa-henkel-1-8/
Антистатики, кондиционеры для тканей;БХ-280612;Кондиционер концентрированный   1.82л для белья VERNEL АРОМА ОРХИДЕЯ И ПАЧУЛИ   ''HENKEL''   1/8;379.10;http://almin.ru/goods/konditsioner-kontsentrirovannyy-182l-dlya-belya-vernel-aroma-orkhideya-i-pachuli-henkel-1-8/
Антистатики, кондиционеры для тканей;БХ-220613;Кондиционер концентрированный   910мл для белья VERNEL АРОМА МАГНОЛИЯ И ЖАСМИН   ''HENKEL''   1/12;225.53;http://almin.ru/goods/konditsioner-kontsentrirovannyy-910ml-dlya-belya-vernel-aroma-magnoliya-i-zhasmin-henkel-1-12/
Антистатики, кондиционеры для тканей;БХ-280613;Кондиционер концентрированный   1.82л для белья VERNEL МИНДАЛЬ   ''HENKEL''   1/8;379.10;http://almin.ru/goods/konditsioner-kontsentrirovannyy-182l-dlya-belya-vernel-mindal-henkel-1-8/
Антистатики, кондиционеры для тканей;БХ-210613;Кондиционер концентрированный   910мл для белья VERNEL АЛОЭ ВЕРА   ''HENKEL''   1/12;225.53;http://almin.ru/goods/konditsioner-kontsentrirovannyy-910ml-dlya-belya-vernel-aloe-vera-henkel-1-12/
Антистатики, кондиционеры для тканей;БХ-30005;Кондиционер   5л для белья SOFT END FRESH   ''BELGIUM''   1/1;1035.69;http://almin.ru/goods/konditsioner-5l-dlya-belya-soft-end-fresh-belgium-1-1/
Антистатики, кондиционеры для тканей;БХ-202909;Кондиционер концентрированный   1.82л для белья VERNEL ЛЕТНЕЕ УТРО   ''HENKEL''   1/8;379.10;http://almin.ru/goods/konditsioner-kontsentrirovannyy-182l-dlya-belya-vernel-letnee-utro-henkel-1-8/
Антистатики, кондиционеры для тканей;БХ-270613;Кондиционер концентрированный   910мл для белья VERNEL ЛЕТНЕЕ УТРО   ''HENKEL''   1/12;170.55;http://almin.ru/goods/konditsioner-kontsentrirovannyy-910ml-dlya-belya-vernel-letnee-utro-henkel-1-12/
Диспенсеры для мыла жидкого и пенного;ПЛ-ДЦ25;Диспенсер   550мл для жидкого мыла наливной ПЛАСТИКОВЫЙ БЕЛЫЙ   1/25;337.37;http://almin.ru/goods/dispenser-550ml-dlya-zhidkogo-myla-nalivnoy-plastikovyy-belyy-1-25/
Диспенсеры для мыла жидкого и пенного;T-561008;Диспенсер   475мл ДхШхВ 112х114х206 мм S2 ELEVATION для жидкого мыла TORK ПЛАСТИКОВЫЙ ЧЕРНЫЙ   ''SCA''   1/1;1652.00;http://almin.ru/goods/dispenser-475ml-dkhshkhv-112kh114kh206-mm-elevation-dlya-zhidkogo-myla-tork-plastikovyy-chernyy-sca-/
Диспенсеры для мыла жидкого и пенного;KC-92147;Диспенсер сенсорный   1.2л ДхШхВ 183х100х290 мм для пенного мыла ПЛАСТИКОВЫЙ БЕЛЫЙ   ''KIMBERLY-CLARK''   1/1;4069.32;http://almin.ru/goods/dispenser-sensornyy-12l-dkhshkhv-183kh100kh290-mm-dlya-pennogo-myla-plastikovyy-belyy-kimberly-clark/
Диспенсеры для мыла жидкого и пенного;G-TM802;Диспенсер   800мл для жидкого мыла наливной ХРОМИРОВАННЫЙ   1/1;1124.55;http://almin.ru/goods/dispenser-800ml-dlya-zhidkogo-myla-nalivnoy-khromirovannyy-1-1/
Диспенсеры для мыла жидкого и пенного;T-560000;Диспенсер   1л ДхШхВ 112х114х291 мм S1/S11 ELEVATION для жидкого мыла TORK ПЛАСТИКОВЫЙ БЕЛЫЙ   ''SCA''   1/1;1905.40;http://almin.ru/goods/dispenser-1l-dkhshkhv-112kh114kh291-mm-elevation-dlya-zhidkogo-myla-tork-plastikovyy-belyy-sca-1-1/
Диспенсеры для мыла жидкого и пенного;T-561000;Диспенсер   475мл ДхШхВ 112х114х206 мм S2 ELEVATION для жидкого мыла TORK ПЛАСТИКОВЫЙ БЕЛЫЙ   ''SCA''   1/1;1652.00;http://almin.ru/goods/dispenser-475ml-dkhshkhv-112kh114kh206-mm-elevation-dlya-zhidkogo-myla-tork-plastikovyy-belyy-sca-1-/
Диспенсеры для мыла жидкого и пенного;ПЛ-SD01;Диспенсер   500мл для жидкого мыла наливной ПЛАСТИКОВЫЙ БЕЛЫЙ   1/1;449.82;http://almin.ru/goods/dispenser-500ml-dlya-zhidkogo-myla-nalivnoy-plastikovyy-belyy-1-1/
Диспенсеры для мыла жидкого и пенного;T-561500;Диспенсер   1л ДхШхВ 113х105х286 мм S4 ELEVATION для пенного мыла TORK ПЛАСТИКОВЫЙ БЕЛЫЙ   ''SCA''   1/1;1905.40;http://almin.ru/goods/dispenser-1l-dkhshkhv-105kh113kh286-mm-elevation-dlya-pennogo-myla-tork-plastikovyy-belyy-sca-1-1/
Диспенсеры для мыла жидкого и пенного;KC-6982;Диспенсер   200мл ДхШхВ 85х70х190 мм SLIMFOLD для пенного мыла ПЛАСТИКОВЫЙ БЕЛЫЙ   ''KIMBERLY-CLARK''   1/1;1255.98;http://almin.ru/goods/dispenser-200ml-dkhshkhv-85kh70kh190-mm-slimfold-dlya-pennogo-myla-plastikovyy-belyy-kimberly-clark-/
Диспенсеры для мыла жидкого и пенного;L-4036050;Диспенсер бесконтактный   1л ДхШхВ 275х170х95 мм WAWE для пенного мыла TORK (арт.470232) ПЛАСТИКОВЫЙ БЕЛЫЙ   ''SCA''   1/1;3916.08;http://almin.ru/goods/dispenser-beskontaktnyy-1l-dkhshkhv-275kh170kh95-mm-wawe-dlya-pennogo-myla-tork-art470232-plastikovy/
Диспенсеры для мыла жидкого и пенного;L-4035890;Диспенсер бесконтактный   1л ДхШхВ 275х170х95 мм WAWE для пенного мыла TORK (арт.470221, 470231) ПЛАСТИКОВЫЙ СИНИЙ   ''SCA''   1/1;3916.08;http://almin.ru/goods/dispenser-beskontaktnyy-1l-dkhshkhv-275kh170kh95-mm-wawe-dlya-pennogo-myla-tork-art470221-470231-pla/
Диспенсеры для мыла жидкого и пенного;KC-6948;Диспенсер   1л ДхШхВ 116х114х235 мм AQUARIUS для жидкого мыла ПЛАСТИКОВЫЙ БЕЛЫЙ   ''KIMBERLY-CLARK''   1/1;1067.08;http://almin.ru/goods/dispenser-1l-dkhshkhv-116kh110kh235-mm-aquarius-dlya-zhidkogo-myla-plastikovyy-belyy-kimberly-clark-/
Диспенсеры для мыла жидкого и пенного;T-561508;Диспенсер   1л ДхШхВ 113х105х286 мм S4 ELEVATION для пенного мыла TORK ПЛАСТИКОВЫЙ ЧЕРНЫЙ   ''SCA''   1/1;1905.40;http://almin.ru/goods/dispenser-1l-dkhshkhv-105kh113kh286-mm-elevation-dlya-pennogo-myla-tork-plastikovyy-chernyy-sca-1-1/
Диспенсеры для мыла жидкого и пенного;T-560100;Диспенсер   1л ДхШхВ 112х114х291 мм S1 ELEVATION для жидкого мыла TORK с локтевым приводом ПЛАСТИКОВЫЙ БЕЛЫЙ   ''SCA''   1/1;2962.40;http://almin.ru/goods/dispenser-1l-dkhshkhv-112kh114kh291-mm-elevation-dlya-zhidkogo-myla-tork-s-loktevym-privodom-plastik/
Диспенсеры для мыла жидкого и пенного;G-HF7001;Диспенсер   500мл для жидкого мыла наливной ХРОМИРОВАННЫЙ   1/1;988.00;http://almin.ru/goods/dispenser-500ml-dlya-zhidkogo-myla-nalivnoy-khromirovannyy-1-1/
Диспенсеры для мыла жидкого и пенного;KC-11329;Диспенсер сенсорный   1.2л ДхШхВ 183х100х290 мм для пенного мыла ПЛАСТИКОВЫЙ ХРОМИРОВАННЫЙ   ''KIMBERLY-CLARK''   1/1;4937.41;http://almin.ru/goods/dispenser-sensornyy-12l-dkhshkhv-183kh100kh290-mm-dlya-pennogo-myla-plastikovyy-metallik-kimberly-cl/
Диспенсеры для мыла жидкого и пенного;T-560008;Диспенсер   1л ДхШхВ 112х114х291 мм S1/S11 ELEVATION для жидкого мыла TORK ПЛАСТИКОВЫЙ ЧЕРНЫЙ   ''SCA''   1/1;1905.40;http://almin.ru/goods/dispenser-1l-dkhshkhv-112kh114kh291-mm-elevation-dlya-zhidkogo-myla-tork-plastikovyy-chernyy-sca-1-1/
Диспенсеры для мыла жидкого и пенного;T-561600;Диспенсер сенсорный   1л ДхШхВ 113х130х278 мм S4 ELEVATION для пенного мыла TORK ПЛАСТИКОВЫЙ БЕЛЫЙ   ''SCA''   1/1;5301.80;http://almin.ru/goods/dispenser-sensornyy-1l-dkhshkhv-113kh130kh278-mm-elevation-dlya-pennogo-myla-tork-plastikovyy-belyy-/
Диспенсеры для мыла жидкого и пенного;T-561608;Диспенсер сенсорный   1л ДхШхВ 113х130х278 мм S4 ELEVATION для пенного мыла TORK ПЛАСТИКОВЫЙ ЧЕРНЫЙ   ''SCA''   1/1;5301.80;http://almin.ru/goods/dispenser-sensornyy-1l-dkhshkhv-113kh130kh278-mm-elevation-dlya-pennogo-myla-tork-plastikovyy-cherny/
Диспенсеры для мыла жидкого и пенного;KC-11430;Стойка напольная   Н1460 мм для сенсорного диспенсера МЕТАЛЛИЧЕСКАЯ ЧЕРНАЯ   ''KIMBERLY-CLARK''   1/1;7117.71;http://almin.ru/goods/stoyka-napolnaya-n1460-mm-dlya-sensornogo-dispensera-kimberly-clark-1-1/
Диспенсеры для мыла жидкого и пенного;KC-6955;Диспенсер   1л ДхШхВ 237х115х247 мм AQUARIUS для жидкого мыла с локтевым приводом ПЛАСТИКОВЫЙ БЕЛЫЙ   ''KIMBERLY-CLARK''   1/1;1302.13;http://almin.ru/goods/dispenser-1l-dkhshkhv-237kh115kh250-mm-aquarius-dlya-zhidkogo-myla-s-loktevym-privodom-plastikovyy-b/
Диспенсеры для мыла жидкого и пенного;T-560108;Диспенсер   1л ДхШхВ 112х114х291 мм S1 ELEVATION для жидкого мыла TORK с локтевым приводом ПЛАСТИКОВЫЙ ЧЕРНЫЙ   ''SCA''   1/1;2961.50;http://almin.ru/goods/dispenser-1l-dkhshkhv-112kh114kh291-mm-elevation-dlya-zhidkogo-myla-tork-s-loktevym-privodom-plastik-160808/
Диспенсеры для мыла жидкого и пенного;T-460010;Диспенсер   1л ДхШхВ 106х107х289 мм S4 IMAGE DESIGN для пенного мыла TORK МЕТАЛЛИЧЕСКИЙ   ''SCA''   1/1;3250.80;http://almin.ru/goods/dispenser-1l-dkhshkhv-106kh107kh289-mm-image-design-dlya-pennogo-myla-tork-metallicheskiy-sca-1-1/
Диспенсеры для мыла жидкого и пенного;T-460009;Диспенсер сенсорный   1л ДхШхВ 116х130х278 мм S4 IMAGE DESIGN для пенного мыла TORK МЕТАЛЛИЧЕСКИЙ   ''SCA''   1/1;7533.40;http://almin.ru/goods/dispenser-sensornyy-1l-dkhshkhv-116kh130kh278-mm-image-design-dlya-pennogo-myla-tork-metallicheskiy-/
Диспенсеры для мыла жидкого и пенного;KC-7134;Диспенсер   1л ДхШхВ 116х114х235 мм AQUARIUS для увляжняющего крема ПЛАСТИКОВЫЙ БЕЛЫЙ   ''KIMBERLY-CLARK''   1/1;1066.60;http://almin.ru/goods/dispenser-1l-dkhshkhv-116kh114kh235-mm-aquarius-dlya-uvlyazhnyayushchego-krema-plastikovyy-belyy-kim/
Диспенсеры для мыла жидкого и пенного;KC-8973;Диспенсер   1л ДхШхВ 120х107х231 мм для жидкого мыла МЕТАЛЛИЧЕСКИЙ   ''KIMBERLY-CLARK''   1/1;8986.43;http://almin.ru/goods/dispenser-1l-dkhshkhv-120kh107kh231-mm-dlya-zhidkogo-myla-metallicheskiy-kimberly-clark-1-1/
Диспенсеры для освежителей воздуха;Т-562000;Диспенсер электронный   ДхШхВ 97х60х174 мм A1 ELEVATION для освежителя воздуха TORK ПЛАСТИКОВЫЙ БЕЛЫЙ   ''SCA''   1/1;8138.20;http://almin.ru/goods/dispenser-elektronnyy-dkhshkhv-97kh60kh174-mm-elevation-dlya-osvezhitelya-vozdukha-tork-plastikovyy-/
Диспенсеры для освежителей воздуха;T-256055;Диспенсер электронный   ДхШхВ 84х66х168 мм A1 IMAGE DESIGN для освежителя воздуха TORK ПЛАСТИКОВЫЙ СЕРЫЙ   ''SCA''   1/1;8138.20;http://almin.ru/goods/dispenser-elektronnyy-dkhshkhv-84kh66kh168-mm-elevation-dlya-osvezhitelya-vozdukha-tork-plastikovyy-/
Дозаторы для профессиональной химии;CD-1P02;Дозатор настенный ACCUDOSE   для разбавления 1 моющего средства   1/1;15821.42;http://almin.ru/goods/dozator-nastennyy-accudose-dlya-razbavleniya-1-moyushchego-sredstva-hn-1-1/
Дозаторы для профессиональной химии;CD-PSB1F;Дозатор настенный PROMIX   для разбавления 1 моющего средства   ''SEKO''   1/1;15821.42;http://almin.ru/goods/dozator-nastennyy-promix-dlya-razbavleniya-1-moyushchego-sredstva-seko-1-1/
Дозаторы для профессиональной химии;CD-014;Дозатор PUMP KNIGHT   для моющих средств   ''CID LINES''   1/1;6890.39;http://almin.ru/goods/dozator-pump-knight-dlya-moyushchikh-sredstv-cid-lines-1-1/
Дозаторы для профессиональной химии;CD-2P03;Дозатор настенный ACCUDOSE   для разбавления 2 моющих средств   1/1;25576.70;http://almin.ru/goods/dozator-nastennyy-accudose-dlya-razbavleniya-2-moyushchikh-sredstv-hn-1-1/
Дозаторы для профессиональной химии;CD-3P02;Дозатор настенный ACCUDOSE   для разбавления 3 моющих средств   1/1;35907.26;http://almin.ru/goods/dozator-nastennyy-accudose-dlya-razbavleniya-3-moyushchikh-sredstv-hn-1-1/
Дозаторы для профессиональной химии;CD-616GB;Дозатор настенный МЕХАНИЧЕСКИЙ   для дозирования моющих средств   1/1;6291.36;http://almin.ru/goods/dozator-nastennyy-mekhanicheskiy-dlya-dozirovaniya-moyushchikh-sredstv-1-1/
Дозаторы для профессиональной химии;CD-141212;Дозатор электронный DR 35   для пм/машин тунельного типа   1/1;63102.10;http://almin.ru/goods/dozator-elektronnyy-dr-35-dlya-pm-mashin-tunelnogo-tipa-1-1/
Дозаторы для профессиональной химии;CD-PR1;Дозатор PR1   для дозирования ополаскивателя   ''SEKO''   1/1;17307.36;http://almin.ru/goods/dozator-pr1-dlya-dozirovaniya-opolaskivatelya-seko-1-1/
Дозаторы для профессиональной химии;ПЛ-160413;Дозатор НАСОС   Н400 мм для 5 л канистр БЕЛЫЙ   1/200;84.15;http://almin.ru/goods/dozator-nasos-n400-mm-dlya-5-l-kanistr-belyy-1-200/
Дозаторы для профессиональной химии;ПЛ-PS20;Дозатор PR4   для дозирования моющего средства   ''SEKO''   1/1;31016.16;http://almin.ru/goods/dozator-pr4-dlya-dozirovaniya-moyushchego-sredstva-seko-1-1/
Мыло жидкое, пенное;KC-6334;Мыло жидкое   1л антибактериальное картридж для диспенсера ПРОЗРАЧНОЕ   ''KIMBERLY-CLARK''   1/6;506.14;http://almin.ru/goods/mylo-zhidkoe-1l-antibakterialnoe-kartridzh-dlya-dispensera-prozrachnoe-kimberly-clark-1-6/
Мыло жидкое, пенное;KC-6332;Мыло жидкое   1л для головы и тела картридж для диспенсера БЕЛОЕ   ''KIMBERLY-CLARK''   1/6;506.14;http://almin.ru/goods/mylo-zhidkoe-1l-dlya-golovy-i-tela-kartridzh-dlya-dispensera-beloe-kimberly-clark-1-6/
Мыло жидкое, пенное;KC-6331;Мыло жидкое   1л для повседневного использования картридж для диспенсера РОЗОВОЕ   ''KIMBERLY-CLARK''   1/6;506.14;http://almin.ru/goods/mylo-zhidkoe-1l-dlya-povsednevnogo-ispolzovaniya-kartridzh-dlya-dispensera-rozovoe-kimberly-clark-1-/
Мыло жидкое, пенное;KC-6333;Мыло жидкое   1л для частого использования картридж для диспенсера ПРОЗРАЧНОЕ   ''KIMBERLY-CLARK''   1/6;506.14;http://almin.ru/goods/mylo-zhidkoe-1l-dlya-chastogo-ispolzovaniya-kartridzh-dlya-dispensera-prozrachnoe-kimberly-clark-1-6/
Мыло жидкое, пенное;KC-6330;Мыло жидкое   1л картридж для диспенсера ЯНТАРНОЕ   ''KIMBERLY-CLARK''   1/6;506.14;http://almin.ru/goods/mylo-zhidkoe-1l-kartridzh-dlya-dispensera-yantarnoe-kimberly-clark-1-6/
Мыло жидкое, пенное;L-J95836;Мыло жидкое   800мл для рук TORK UNIVERSAL (арт.470038) картридж для диспенсера БЕЗ ЗАПАХА   ''SCA''   1/6;535.72;http://almin.ru/goods/mylo-zhidkoe-800ml-dlya-ruk-tork-universal-art470038-kartridzh-dlya-dispensera-bez-zapakha-sca-1-6/
Мыло жидкое, пенное;T-421501;Мыло жидкое   1л для рук TORK S1 PREMIUM картридж для диспенсера ПЕРЛАМУТРОВОЕ   ''SCA''   1/6;366.80;http://almin.ru/goods/mylo-zhidkoe-1l-dlya-ruk-tork-premium-kartridzh-dlya-dispensera-perlamutrovoe-sca-1-6/
Мыло жидкое, пенное;T-421502;Мыло жидкое   475мл для рук TORK S2 PREMIUM картридж для диспенсера ПЕРЛАМУТРОВОЕ   ''SCA''   1/8;294.00;http://almin.ru/goods/mylo-zhidkoe-475ml-dlya-ruk-tork-premium-kartridzh-dlya-dispensera-perlamutrovoe-sca-1-8/
Мыло жидкое, пенное;T-400505;Мыло жидкое   5л для рук TORK PREMIUM канистра ПЕРЛАМУТРОВОЕ   ''SCA''   1/3;1597.40;http://almin.ru/goods/mylo-zhidkoe-5l-dlya-ruk-tork-premium-kanistra-perlamutrovoe-sca-1-3/
Мыло жидкое, пенное;KC-6341;Мыло пенное   1л антибактериальное картридж для диспенсера ПРОЗРАЧНОЕ   ''KIMBERLY-CLARK''   1/6;758.49;http://almin.ru/goods/mylo-pennoe-1l-antibakterialnoe-kartridzh-dlya-dispensera-prozrachnoe-kimberly-clark-1-6/
Мыло жидкое, пенное;KC-6342;Мыло пенное   1л для частого использования картридж для диспенсера ПРОЗРАЧНОЕ   ''KIMBERLY-CLARK''   1/6;607.08;http://almin.ru/goods/mylo-pennoe-1l-dlya-chastogo-ispolzovaniya-kartridzh-dlya-dispensera-prozrachnoe-kimberly-clark-1-6/
Мыло жидкое, пенное;KC-6340;Мыло пенное   1л картридж для диспенсера РОЗОВОЕ   ''KIMBERLY-CLARK''   1/6;607.08;http://almin.ru/goods/mylo-pennoe-1l-kartridzh-dlya-dispensera-rozovoe-kimberly-clark-1-6/
Мыло жидкое, пенное;L-4017981;Мыло пенное   800мл для рук TORK S34 PREMIUM (арт.470026) картридж для диспенсера   ''SCA''   1/6;637.00;http://almin.ru/goods/mylo-pennoe-800ml-dlya-ruk-tork-premium-art470026-kartridzh-dlya-dispensera-sca-1-6/
Мыло жидкое, пенное;T-520501;Мыло пенное   1л для рук TORK S4 PREMIUM картридж для диспенсера БЕСЦВЕТНОЕ   ''SCA''   1/6;505.40;http://almin.ru/goods/mylo-pennoe-1l-dlya-ruk-tork-premium-kartridzh-dlya-dispensera-bestsvetnoe-sca-1-6/
Мыло жидкое, пенное;T-421601;Мыло жидкое   1л для головы и тела TORK S1 PREMIUM картридж для диспенсера ГОЛУБОЕ   ''SCA''   1/6;368.20;http://almin.ru/goods/mylo-zhidkoe-1l-dlya-golovy-i-tela-tork-premium-kartridzh-dlya-dispensera-goluboe-sca-1-6/
Мыло жидкое, пенное;KC-6346;Мыло пенное   200мл для повседневного использования картридж для диспенсера РОЗОВОЕ   ''KIMBERLY-CLARK''   1/12;304.26;http://almin.ru/goods/mylo-pennoe-200ml-dlya-povsednevnogo-ispolzovaniya-kartridzh-dlya-dispensera-rozovoe-kimberly-clark-/
Мыло жидкое, пенное;T-500902;Мыло пенное   800мл для рук TORK PREMIUM картридж для диспенсера ПЕРЛАМУТРОВОЕ   ''SCA''   1/4;606.20;http://almin.ru/goods/mylo-pennoe-800ml-dlya-ruk-tork-premium-kartridzh-dlya-dispensera-perlamutrovoe-sca-1-4/
Мыло жидкое, пенное;T-409840;Мыло жидкое   5л для рук TORK UNIVERSAL канистра БЕЛОЕ   ''SCA''   1/1;1006.60;http://almin.ru/goods/mylo-zhidkoe-5l-dlya-ruk-tork-universal-kanistra-beloe-sca-1-1/
Мыло жидкое, пенное;KC-6352;Средство дезинфицирующее   1л для рук используется без смывания пенное картридж для диспенсера   ''KIMBERLY-CLARK''   1/6;662.98;http://almin.ru/goods/sredstvo-dezinfitsiruyushchee-1l-dlya-ruk-ispolzuetsya-bez-smyvaniya-kartridzh-dlya-dispensera-kimbe/
Мыло жидкое, пенное;KC-6345;Мыло пенное   1.2л картридж для диспенсера ПРОЗРАЧНОЕ   ''KIMBERLY-CLARK''   1/4;873.85;http://almin.ru/goods/mylo-pennoe-12l-kartridzh-dlya-dispensera-prozrachnoe-kimberly-clark-1-4/
